,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
12,13,7,12,モチベーション,牝3,54.0,永野 猛蔵,2:01.6,クビ,3-3-2,35.5,430,+2,清水 英克,15
13,14,6,11,トゥーサン,牝3,54.0,津村 明秀,2:01.7,3/4,14-15-13,34.2,436,-6,吉岡 辰弥,14
14,15,7,13,ルージュスティリア,牝3,54.0,福永 祐一,2:01.8,アタマ,5-5-4,35.3,464,-10,藤原 英昭,1
0,1,5,5,ウォーターナビレラ,牝2,54.0,武 豊,1:21.1,,2-2,34.7,472,+2,武 幸四郎,2
1,2,2,2,ナムラクレア,牝2,54.0,浜中 俊,1:21.2,3/4,4-3,34.6,460,+2,長谷川 浩大,1
2,3,8,9,ママコチャ,牝2,54.0,藤岡 佑介,1:21.5,1 3/4,4-4,34.8,468,0,池江 泰寿,3
3,4,8,10,ホワイトターフ,牝2,54.0,藤岡 康太,1:22.1,3 1/2,10-10,35.1,434,+4,新谷 功一,10
4,5,6,6,アネゴハダ,牝2,54.0,幸 英明,1:22.1,ハナ,7-7,35.3,440,-6,佐々木 晶三,6
5,6,4,4,オルコス,牝2,54.0,池添 謙一,1:22.3,1,8-7,35.5,434,+4,加藤 士津八,5
6,7,7,8,スリーパーダ,牝2,54.0,岩田 望来,1:22.3,クビ,8-7,35.3,404,0,斉藤 崇史,4
7,8,3,3,ナムラデイリリー,牝2,54.0,泉谷 楓真,1:22.5,1 1/4,1-1,36.6,460,-2,大橋 勇樹,9
8,9,1,1,ヴィルチュオーズ,牝2,54.0,松田 大作,1:23.1,3 1/2,4-4,36.5,418,-2,武 幸四郎,7
9,10,7,7,スマートプレジール,牝2,54.0,松山 弘平,1:23.8,4,3-4,37.2,484,-8,浅見 秀一,8
0,1,1,1,イクイノックス,牡2,55.0,C.ルメール,1:46.2,,9-10-8,32.9,482,+8,木村 哲也,1
1,2,3,3,アサヒ,牡2,55.0,田辺 裕信,1:46.6,2 1/2,6-6-6,33.5,498,+2,金成 貴史,4
2,3,2,2,テンダンス,牡2,55.0,和田 竜二,1:46.7,3/4,3-4-4,33.9,486,-4,中竹 和也,6
3,4,8,12,ダンテスヴュー,牡2,55.0,川田 将雅,1:47.2,3,9-11-11,33.7,458,0,友道 康夫,5
4,5,5,5,レッドベルアーム,牡2,55.0,福永 祐一,1:47.2,クビ,5-6-6,34.2,514,+6,藤原 英昭,2
5,6,7,10,アルナシーム,牡2,55.0,武 豊,1:47.3,クビ,12-2-1,35.4,438,+20,橋口 慎介,3
6,7,6,8,グランシエロ,牡2,55.0,三浦 皇成,1:47.4,1/2,6-8-8,34.1,516,-2,武井 亮,7
7,8,7,9,スカイフォール,牡2,55.0,横山 典弘,1:47.6,1 1/2,11-12-12,33.8,468,+2,昆 貢,8
8,9,8,11,テラフォーミング,牡2,55.0,石川 裕紀人,1:47.8,1 1/4,3-4-4,35.0,464,+6,相沢 郁,9
9,10,4,4,トーセンヴァンノ,牡2,55.0,戸崎 圭太,1:48.0,1 1/4,6-8-8,34.6,486,+8,小桧山 悟,11
10,11,6,7,デリカテス,牡2,55.0,坂井 瑠星,1:48.7,4,2-3-3,36.1,460,+8,高橋 義忠,10
11,12,5,6,ナバロン,牡2,55.0,M.デムーロ,1:48.9,1 1/4,1-1-2,36.7,484,+6,杉山 佳明,12
