,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
5,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,6,6,10,マテンロウレオ,牡2,55.0,横山 典弘,2:01.1,ハナ,9-10-10-9,35.6,478,+4,昆 貢,9
6,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,7,2,2,アケルナルスター,牡2,55.0,柴田 大知,2:01.1,ハナ,14-14-14-13,35.1,454,0,清水 英克,12
7,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,8,1,1,シェルビーズアイ,牡2,55.0,松田 大作,2:01.3,1,9-8-8-8,36.0,472,0,武 英智,13
8,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,9,3,4,グランドライン,牡2,55.0,三浦 皇成,2:01.4,1,1-1-1-1,37.1,514,0,高木 登,11
9,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,10,8,15,アスクワイルドモア,牡2,55.0,武 豊,2:01.5,3/4,13-13-12-13,35.7,474,+12,藤原 英昭,5
10,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,11,7,12,オニャンコポン,牡2,55.0,菅原 明良,2:01.7,1 1/4,3-3-3-5,36.8,474,+4,小島 茂之,6
11,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,12,4,6,コマンドライン,牡2,55.0,C.ルメール,2:01.8,クビ,11-10-10-9,36.3,530,+8,国枝 栄,1
12,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,13,4,7,サトノヘリオス,牡2,55.0,岩田 望来,2:01.8,クビ,8-8-8-5,36.5,478,+6,友道 康夫,3
13,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,14,6,11,クラウンドマジック,牡2,55.0,岩田 康誠,2:02.2,2,15-15-15-13,35.8,510,+8,加用 正,15
14,2021-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,15,8,14,タイラーテソーロ,牡2,55.0,内田 博幸,2:03.0,5,5-5-5-11,37.9,476,+4,栗田 徹,14
0,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,1,3,6,サリオス,牡2,55.0,R.ムーア,1:33.0,,3-3,35.4,538,-2,堀 宣行,1
1,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,2,4,8,タイセイビジョン,牡2,55.0,武 豊,1:33.4,2 1/2,12-8,35.3,464,+4,西村 真幸,2
2,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,3,5,9,グランレイ,牡2,55.0,池添 謙一,1:33.6,1 1/4,15-15,34.9,452,-4,池添 学,14
3,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,4,7,14,タガノビューティー,牡2,55.0,和田 竜二,1:33.6,クビ,14-12,35.2,508,+6,西園 正都,9
4,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,5,7,13,プリンスリターン,牡2,55.0,原田 和真,1:33.8,1 1/4,9-8,35.7,444,+4,加用 正,15
5,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,6,1,1,ジュンライトボルト,牡2,55.0,岩田 康誠,1:33.9,クビ,9-12,35.6,454,-4,友道 康夫,10
6,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,7,1,2,ビアンフェ,牡2,55.0,藤岡 佑介,1:33.9,アタマ,1-1,36.7,538,+4,中竹 和也,5
7,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,8,8,16,ラウダシオン,牡2,55.0,C.ルメール,1:34.0,1/2,8-6,36.1,490,0,斉藤 崇史,6
8,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,9,4,7,ウイングレイテスト,牡2,55.0,松岡 正海,1:34.3,2,5-6,36.5,492,+4,青木 孝文,8
9,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,10,6,12,レッドベルジュール,牡2,55.0,C.スミヨン,1:34.3,ハナ,12-12,36.0,476,-2,藤原 英昭,3
10,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,11,2,4,トリプルエース,牡2,55.0,W.ビュイック,1:34.4,クビ,3-3,36.9,468,-10,斉藤 崇史,7
11,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,12,6,11,カリニート,牡2,55.0,幸 英明,1:34.9,3,16-16,35.8,460,-6,大根田 裕之,16
12,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,13,3,5,マイネルグリット,牡2,55.0,国分 優作,1:35.8,5,9-8,37.7,484,+4,吉田 直弘,13
13,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,14,5,10,エグレムニ,牡2,55.0,福永 祐一,1:35.8,クビ,5-5,38.1,472,+6,加用 正,12
14,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,15,8,15,メイショウチタン,牡2,55.0,松山 弘平,1:36.5,4,2-2,39.1,460,-6,本田 優,11
15,2019-12-15,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,16,2,3,ペールエール,牡2,55.0,O.マーフィー,1:37.0,3,7-8,39.0,492,-2,安田 隆行,4
0,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,1,3,6,カフェファラオ,牡5,57.0,福永 祐一,1:33.8,,4-3,34.3,526,+6,堀 宣行,2
1,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,2,8,15,テイエムサウスダン,牡5,57.0,岩田 康誠,1:34.2,2 1/2,1-1,35.0,546,-8,飯田 雄三,5
2,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,3,6,11,ソダシ,牝4,55.0,吉田 隼人,1:34.3,1/2,2-2,34.9,476,+6,須貝 尚介,4
3,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,4,7,13,ソリストサンダー,牡7,57.0,戸崎 圭太,1:34.3,クビ,5-6,34.6,486,0,高柳 大輔,6
4,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,5,4,7,タイムフライヤー,牡7,57.0,横山 武史,1:34.5,1 1/4,10-10,34.6,482,+2,橋口 慎介,15
5,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,6,3,5,レッドルゼル,牡6,57.0,川田 将雅,1:34.6,1/2,8-6,34.9,494,+6,安田 隆行,1
6,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,7,2,4,アルクトス,牡7,57.0,田辺 裕信,1:34.7,3/4,5-5,35.1,548,+4,栗田 徹,3
7,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,8,4,8,サンライズノヴァ,牡8,57.0,松若 風馬,1:34.8,1/2,16-15,34.5,536,+9,音無 秀孝,12
8,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,9,8,16,エアスピネル,牡9,57.0,M.デムーロ,1:35.0,1,13-12,34.9,490,+4,笹田 和秀,8
9,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,10,6,12,ミューチャリー,牡6,57.0,御神本 訓史,1:35.1,1/2,10-12,35.0,464,-2,矢野 義幸,11
10,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,11,2,3,インティ,牡8,57.0,武 豊,1:35.2,1/2,13-12,35.1,518,+2,野中 賢二,7
11,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,12,5,9,,牡5,57.0,大野 拓弥,1:35.3,3/4,2-3,35.8,544,-8,羽月 友彦,14
12,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,13,5,10,,牡7,57.0,松田 大作,1:35.5,1 1/4,10-10,35.6,490,-2,須貝 尚介,9
13,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,14,1,1,テオレーマ,牝6,55.0,C.ルメール,1:35.6,クビ,13-15,35.3,476,+4,石坂 公一,10
14,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,15,1,2,,せん8,57.0,三浦 皇成,1:35.7,1/2,5-6,36.0,504,+4,菊沢 隆徳,13
15,2022-02-20,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,16,7,14,,牡9,57.0,菅原 明良,1:36.1,2 1/2,8-9,36.3,528,-9,清水 英克,16
0,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,1,5,9,ユーバーレーベン,牝3,55.0,M.デムーロ,2:24.5,,12-13-10-8,34.4,462,+8,手塚 貴久,3
1,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,2,4,7,アカイトリノムスメ,牝3,55.0,C.ルメール,2:24.6,1,5-7-10-10,34.4,450,+6,国枝 栄,2
2,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,3,4,8,ハギノピリナ,牝3,55.0,藤懸 貴志,2:24.6,ハナ,17-17-15-12,34.3,454,0,高野 友和,16
3,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,4,2,4,タガノパッション,牝3,55.0,岩田 康誠,2:24.8,1 1/4,16-16-17-16,34.2,456,0,鮫島 一歩,10
4,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,5,7,15,アールドヴィーヴル,牝3,55.0,松山 弘平,2:24.8,アタマ,13-13-13-12,34.5,422,0,今野 貞一,7
5,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,6,6,12,ミヤビハイディ,牝3,55.0,吉田 豊,2:25.0,3/4,18-17-17-16,34.3,480,-10,高橋 文雅,17
6,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,7,1,1,ククナ,牝3,55.0,横山 武史,2:25.0,クビ,4-2-3-6,35.1,448,+2,栗田 徹,8
7,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,8,6,11,ソダシ,牝3,55.0,吉田 隼人,2:25.1,3/4,2-4-5-6,35.1,472,0,須貝 尚介,1
8,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,9,1,2,スルーセブンシーズ,牝3,55.0,戸崎 圭太,2:25.2,1/2,13-12-12-12,34.9,428,-6,尾関 知人,9
9,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,10,2,3,パープルレディー,牝3,55.0,田辺 裕信,2:25.3,1/2,15-15-15-16,34.7,416,+2,奥村 武,12
10,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,11,7,13,ファインルージュ,牝3,55.0,福永 祐一,2:25.5,1,9-9-13-15,35.1,494,+6,木村 哲也,4
11,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,12,8,17,スライリー,牝3,55.0,石川 裕紀人,2:25.5,クビ,9-11-8-2,35.7,424,+2,相沢 郁,15
12,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,13,8,18,ステラリア,牝3,55.0,川田 将雅,2:25.9,2 1/2,2-2-2-2,36.1,482,0,斉藤 崇史,5
13,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,14,3,5,クールキャット,牝3,55.0,武 豊,2:26.2,1 1/2,1-1-1-1,36.6,510,+4,奥村 武,6
14,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,15,3,6,ウインアグライア,牝3,55.0,和田 竜二,2:26.4,1 1/2,7-4-5-8,36.3,456,-2,和田 雄二,13
15,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,16,8,16,ニーナドレス,牝3,55.0,藤岡 康太,2:27.9,9,9-9-5-2,38.1,508,0,友道 康夫,11
16,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,17,7,14,ストライプ,牝3,55.0,柴田 善臣,2:28.5,3 1/2,5-4-3-2,38.7,506,+4,尾形 和幸,18
17,2021-05-23,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,18,5,10,エンスージアズム,牝3,55.0,岩田 望来,2:29.1,4,7-7-8-10,38.9,420,+2,安田 翔伍,14
0,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,1,2,3,カフェファラオ,牡4,57.0,C.ルメール,1:34.4,,3-3,35.6,514,+10,堀 宣行,1
1,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,2,5,10,エアスピネル,牡8,57.0,鮫島 克駿,1:34.5,3/4,10-9,35.2,488,-4,笹田 和秀,9
2,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,3,4,7,,牡8,57.0,横山 典弘,1:34.8,1 3/4,7-4,35.7,534,+2,安田 翔伍,8
3,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,4,8,16,レッドルゼル,牡5,57.0,川田 将雅,1:34.9,1/2,10-11,35.5,490,-4,安田 隆行,3
4,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,5,1,1,エアアルマス,牡6,57.0,松山 弘平,1:35.1,1 1/4,2-2,36.6,498,+4,池添 学,10
5,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,6,1,2,インティ,牡7,57.0,武 豊,1:35.1,クビ,13-13,35.5,518,-6,野中 賢二,7
6,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,7,8,15,ミューチャリー,牡5,57.0,御神本 訓史,1:35.3,1 1/4,15-15,35.6,462,-7,矢野 義幸,13
7,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,8,7,13,ソリストサンダー,牡6,57.0,北村 宏司,1:35.4,クビ,12-11,35.9,494,+8,高柳 大輔,5
8,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,9,3,6,アルクトス,牡6,57.0,田辺 裕信,1:35.6,1 1/4,5-4,36.6,540,-4,栗田 徹,2
9,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,10,6,12,ヤマニンアンプリメ,牝7,55.0,横山 武史,1:35.6,クビ,7-8,36.4,494,-2,長谷川 浩大,14
10,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,11,5,9,サンライズノヴァ,牡7,57.0,松若 風馬,1:35.7,3/4,15-15,35.9,542,+8,音無 秀孝,4
11,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,12,6,11,スマートダンディー,牡7,57.0,秋山 真一郎,1:36.0,2,9-9,36.7,498,-4,石橋 守,16
12,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,13,7,14,オーヴェルニュ,牡5,57.0,丸山 元気,1:36.5,3,5-4,37.5,460,-16,西村 真幸,6
13,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,14,4,8,ワイドファラオ,牡5,57.0,福永 祐一,1:36.7,1,1-1,38.2,514,+8,角居 勝彦,11
14,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,15,3,5,サクセスエナジー,牡7,57.0,酒井 学,1:37.1,2 1/2,13-13,37.5,550,0,北出 成人,15
15,2021-02-21,フェブラリーステークス,4歳以上,オープン,国際指定,定量,1600メートルダート左,16,2,4,,せん5,57.0,M.デムーロ,1:37.7,4,3-4,38.7,462,-4,寺島 良,12
0,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,1,7,13,ドウデュース,牡3,57.0,武 豊,2:21.9,,13-14-14-14,33.7,490,-6,友道 康夫,3
1,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,2,8,18,イクイノックス,牡3,57.0,C.ルメール,2:21.9,クビ,16-16-16-14,33.6,484,-8,木村 哲也,2
2,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,3,2,3,アスクビクターモア,牡3,57.0,田辺 裕信,2:22.2,2,2-2-2-2,35.3,472,-2,田村 康仁,7
3,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,4,6,12,ダノンベルーガ,牡3,57.0,川田 将雅,2:22.3,クビ,10-10-11-11,34.3,494,-10,堀 宣行,1
4,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,5,3,6,プラダリア,牡3,57.0,池添 謙一,2:22.8,3,5-5-6-5,35.2,458,+2,池添 学,5
5,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,6,8,16,キラーアビリティ,牡3,57.0,横山 武史,2:22.9,3/4,13-15-15-16,34.5,460,-8,斉藤 崇史,8
6,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,7,7,15,ジオグリフ,牡3,57.0,福永 祐一,2:22.9,ハナ,10-10-11-11,34.9,492,-2,木村 哲也,4
7,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,8,4,7,オニャンコポン,牡3,57.0,菅原 明良,2:23.0,1/2,12-10-11-11,35.0,468,0,小島 茂之,6
8,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,9,5,9,ジャスティンパレス,牡3,57.0,M.デムーロ,2:23.2,1 1/4,6-8-8-8,35.4,448,-10,杉山 晴紀,10
9,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,10,4,8,ビーアストニッシド,牡3,57.0,和田 竜二,2:23.5,1 3/4,4-3-3-3,36.2,462,-6,飯田 雄三,17
10,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,11,1,2,セイウンハーデス,牡3,57.0,幸 英明,2:23.9,2 1/2,6-7-4-5,36.4,472,+4,橋口 慎介,16
11,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,12,1,1,アスクワイルドモア,牡3,57.0,岩田 望来,2:24.0,3/4,6-8-8-8,36.2,464,+2,藤原 英昭,13
12,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,13,2,4,マテンロウレオ,牡3,57.0,横山 和生,2:24.0,ハナ,13-10-8-8,36.2,476,-6,昆 貢,18
13,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,14,8,17,ロードレゼル,牡3,57.0,D.レーン,2:24.0,ハナ,6-5-6-5,36.5,506,+2,中内田 充正,11
14,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,15,7,14,デシエルト,牡3,57.0,岩田 康誠,2:24.0,クビ,1-1-1-1,37.3,512,0,安田 隆行,15
15,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,16,6,11,ジャスティンロック,牡3,57.0,松山 弘平,2:24.7,4,18-18-17-17,36.0,486,-8,吉岡 辰弥,14
16,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,17,5,10,マテンロウオリオン,牡3,57.0,横山 典弘,2:25.9,7,17-17-17-17,37.2,484,0,昆 貢,9
17,2022-05-29,日本ダービー,3歳,オープン,国際牡牝指定,定量,2400メートル芝左,18,3,5,ピースオブエイト,牡3,57.0,藤岡 佑介,2:29.1,大差,3-3-4-4,41.7,460,-6,奥村 豊,12
0,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,1,6,12,アカイトリノムスメ,牝3,55.0,戸崎 圭太,2:01.2,,6-5-5-4,35.9,448,-2,国枝 栄,4
1,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,2,7,14,ファインルージュ,牝3,55.0,C.ルメール,2:01.3,1/2,11-11-10-10,35.5,494,-2,岩戸 孝樹,2
2,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,3,5,9,アンドヴァラナウト,牝3,55.0,福永 祐一,2:01.4,1/2,4-5-5-6,36.1,432,-4,池添 学,3
3,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,4,3,5,エイシンヒテン,牝3,55.0,松若 風馬,2:01.6,1 1/2,1-1-1-1,36.9,452,0,渡辺 薫彦,10
4,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,5,3,6,スライリー,牝3,55.0,石川 裕紀人,2:01.7,クビ,9-10-10-11,35.9,432,+4,相沢 郁,15
5,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,6,1,2,ステラリア,牝3,55.0,武 豊,2:01.7,クビ,11-12-12-12,35.7,490,+8,斉藤 崇史,9
6,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,7,5,10,アールドヴィーヴル,牝3,55.0,松山 弘平,2:01.8,クビ,3-3-3-3,36.7,434,+4,今野 貞一,6
7,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,7,8,15,アナザーリリック,牝3,55.0,津村 明秀,2:01.8,同着,9-8-7-7,36.3,490,+8,林 徹,8
8,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,9,8,16,ミスフィガロ,牝3,55.0,藤岡 康太,2:02.0,1 1/4,13-13-12-12,36.0,420,+4,友道 康夫,12
9,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,10,2,4,ソダシ,牝3,55.0,吉田 隼人,2:02.1,1/2,2-2-2-2,37.3,474,+2,須貝 尚介,1
10,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,11,1,1,スルーセブンシーズ,牝3,55.0,大野 拓弥,2:02.3,1,4-4-3-4,37.1,430,0,尾関 知人,7
11,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,12,4,7,サルファーコスモス,牝3,55.0,川田 将雅,2:02.4,1/2,7-8-7-7,36.9,468,+2,中内田 充正,11
12,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,13,6,11,ユーバーレーベン,牝3,55.0,M.デムーロ,2:02.7,1 3/4,15-15-14-14,36.3,464,+2,手塚 貴久,5
13,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,14,4,8,,牝3,55.0,岩田 望来,2:02.7,クビ,13-14-14-14,36.4,430,+6,安田 翔伍,16
14,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,15,2,3,クールキャット,牝3,55.0,和田 竜二,2:04.3,10,7-7-7-9,38.8,514,-10,奥村 武,13
15,2021-10-17,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,16,7,13,ホウオウイクセル,牝3,55.0,丸田 恭介,2:04.5,1,16-15-16-16,37.8,428,-8,高柳 瑞樹,14
0,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,1,4,5,サートゥルナーリア,牡2,55.0,M.デムーロ,2:01.6,,2-2-3-4,35.3,500,+12,中竹 和也,1
1,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,2,6,8,アドマイヤジャスタ,牡2,55.0,C.ルメール,2:01.8,1 1/2,2-2-2-2,35.6,504,+4,須貝 尚介,2
2,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,3,1,1,ニシノデイジー,牡2,55.0,勝浦 正樹,2:01.9,3/4,4-4-6-9,35.3,490,+4,高木 登,3
3,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,4,8,13,コスモカレンドゥラ,牡2,55.0,戸崎 圭太,2:02.2,1 1/2,1-1-1-1,36.1,444,+2,田中 博康,8
4,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,5,2,2,ブレイキングドーン,牡2,55.0,福永 祐一,2:02.2,ハナ,6-6-3-2,35.9,494,+6,中竹 和也,4
5,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,6,7,11,ヴァンドギャルド,牡2,55.0,C.デムーロ,2:02.2,アタマ,12-11-10-7,35.4,466,+6,藤原 英昭,5
6,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,7,4,4,ヒルノダカール,牡2,55.0,松田 大作,2:02.3,1/2,6-6-5-4,35.8,520,+8,北出 成人,9
7,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,8,3,3,キングリスティア,牡2,55.0,内田 博幸,2:02.3,ハナ,13-13-13-10,35.3,506,+4,河内 洋,6
8,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,9,5,7,ミッキーブラック,牡2,55.0,O.マーフィー,2:02.7,2 1/2,10-10-6-7,36.1,476,+4,音無 秀孝,7
9,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,10,7,10,マードレヴォイス,牡2,55.0,三浦 皇成,2:02.9,1 1/2,11-11-9-10,36.2,460,0,田村 康仁,13
10,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,11,6,9,ジャストアジゴロ,牡2,55.0,田辺 裕信,2:03.1,1 1/4,8-8-6-4,36.5,450,+4,大和田 成,10
11,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,12,5,6,ハクサンタイヨウ,牡2,55.0,松岡 正海,2:03.5,2 1/2,8-8-10-12,36.7,476,+2,浅野 洋一郎,12
12,2018-12-28,ホープフルステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,13,8,12,タニノドラマ,牡2,55.0,池添 謙一,2:05.9,大差,4-4-10-13,39.1,428,+4,松田 国英,11
0,2021-11-21,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,1,6,12,グランアレグリア,牝5,55.0,C.ルメール,1:32.6,,12-8,32.7,506,+2,藤沢 和雄,1
